t,T1,T2,H,price,price_previous,occ1,occ2,c,intercept
0,-12.572478979448706,-14.088834165834058,15.222145987870478,216.3257657295412,-73.82132102241927,-0.7689018768582612,-2.588068113435696,0.0,95.18903609189312
1,-17.269074528155624,-25.02827234524206,15.56849277638188,194.4374159461574,4.123897361356118,1.141231072226351,-1.1531316386116839,3.5840085982926086,50.05961717050819
2,-33.79997619028408,-6.115192947731187,20.582873349312653,148.8048910313612,51.67720579646101,0.6525339926231741,-2.1635414861679507,9.519390843622482,41.59754372217567
3,-7.535250744359613,-9.440793777601687,13.786018497871808,120.75202343588256,75.2494401806268,4.349447810406332,-0.800731769188013,7.062318954953156,33.00398284025519
4,-12.284480775507767,-13.873849101334217,14.894580016443355,93.77223133570033,59.74086617677241,1.457673873015297,-0.0762655318635486,-0.0547396573387634,25.834208356012233
5,-17.130861041519907,-16.323024050225605,15.801464225257101,66.50735628873284,39.82364546139907,0.145071060913184,-2.941717562298392,4.405494922750374,20.608994143820475
6,-15.013611615229445,-18.359724527895157,18.637245030547575,40.611401529660526,22.559620041473693,3.3393880561087794,-5.686333936896387,0.7484212600326499,17.081487647279175
7,-13.739072145073294,-14.207132178697863,14.972593208333517,35.426489478955716,8.941844113215748,2.5357743672585173,-0.4199047301654092,7.685800768015129,5.529603148370063
8,-15.409665335291114,-14.0052866163402,8.803741445947766,34.74496336283648,11.293158469739605,0.7247463455767673,2.2302015968448634,1.7320553226591455,-4.666208985798068
9,-13.612554905753221,-11.041233692812272,5.420438585715445,24.69446931212115,13.178878270227466,-0.31461602703163527,1.4572869411077627,-0.002403510341658144,-11.093546331186303
