t,T1,T2,H,price_t,price_previous,Occ1,Occ2,vent_counter,low_override_r1,low_override_r2,intercept
0,-23.30716507933323,-20.41414973901289,31.39332382557197,181.13787394590645,-55.98194507997481,1.6443596497162984,6.04100413799173,0.0,0.0,0.0,67.3872066543682
1,-26.197634768770175,-19.225846883785742,37.96428655775966,147.54537348154375,7.961793339204839,2.1865459458273415,2.7210626624335132,-4.40519414425686,8.892342287597671,11.473974586628621,35.39167022888133
2,-14.9527589959279,-7.973925236134044,32.98128882163512,106.14654250380819,47.56854488573878,2.595221890282811,2.4344797551487467,24.655838819942314,15.876067463406851,20.770217836781697,22.580308955693987
3,-4.084793100294884,-2.496241937667572,28.63385197551525,78.68625292458779,50.18575055333593,1.9743273707738482,-2.9118234124644364,15.516929848403217,24.09947528332765,21.973587802123905,33.58542721226811
4,-7.496962803373753,-8.075667933786015,26.842229426489045,65.1205865248497,46.19049339019414,2.970319032977829,-1.0492686367866715,10.7128156405321,21.821501611104566,22.12064766157883,17.713209896219574
5,-6.4286066838484235,-6.525310935847823,23.3382517703319,55.384377380991445,38.27763912340124,2.720000860450458,0.8486598879089755,2.437734890207504,16.704076545495496,22.19410976091615,12.077162527274016
6,-5.43019010234943,-7.075773561429452,20.07657590530741,51.16576855859584,29.84081207249618,0.3579821359044535,-0.20600162906306796,8.474515876193411,15.779958291566192,23.48260686042253,4.486704815048812
7,-7.427624060001354,-5.489610210184457,16.993505145711286,41.61199121037845,25.728694993095587,0.3961064424843351,-0.9849989970434357,7.115961295085839,15.041233746433628,18.283136266655994,-3.811345676296891
8,-3.4513192665782757,-3.16228807124404,12.118404759501907,28.522589203267795,18.134268538729163,-0.544814640945599,-2.9085114512707353,9.884825602483376,13.377844907380958,17.47466474884758,-5.468315884424629
9,0.4507106323819994,1.2830770401820581,4.970694325844626,8.37161817421153,6.634064607154563,0.2598738442524223,-1.3752003068836316,5.77398528728826,12.919336158604725,15.593953458504629,-3.520938410583116
